"ID","Usuario","Ubicacion","Contribuciones","Titulo","Fecha_Visita","Tipo_Visita","Fecha_Escrita","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Restaurante","Texto_Resena"
136,"Janasan84","Madrid, España",108,"Gran opción en Pozuelo","nov 2021","","2021-11-16","Positivo","Platos fuera de carta, raciones","Platos elaborados con toques modernos, sugerencias fuera de carta ricas, servicio muy correcto, buena relación calidad-precio","","Sí","Servicio muy correcto, acertadas sugerencias fuera de carta y platos elaborados, con toques modernos, pero muy ricos, Buena relación calidad/precio. Sin duda, hay que volver para seguir descubriendo más raciones."
137,"MGM2011","Madrid, España",55,"Siempre repetimos!","oct 2021","En familia","2021-11-12","Positivo","Tapas y raciones","Platos deliciosos para compartir en pareja o familia, servicio amable y encantador","Camareros algo sobrepasados los fines de semana","Sí","He ido varias veces, tanto en familia como en pareja. Todo lo que hemos tomado siempre nos ha encantado a la mesa completa, tanto raciones como tapas... El servicio es encantador aunque los fines de semana algo sobrepasados..."
138,"E.G.M.","España",553,"Malo por no decir pésimo","oct 2021","","2021-10-22","Negativo","","","Carta muy corta, platos complicados y extraños sin sentido, precios muy elevados","Sí","Hola. Mi experiencia en este lugar ha resultado muy negativa. Carta muy corta, chef que hace unos platos complicados y extraños además de precios muy elevados. No creo que dure mucho tiempo abierto."
139,"juanitabananaMadrid","madrid",21,"Para evitar, nunca más.","sept 2021","Amigos","2021-09-28","Negativo","","Comida vistosa/resultona","Ambiente con estruendo insoportable, servicio maleducado e ineficiente, precio caro","Sí","La comida es resultona, aunque cara, pero lo peor es el ambiente. Es imposible mantener una conversación por el estruendo que hay. El servicio es maleducado e ineficiente. Para evitar."
140,"Belen G","Madrid, España",251,"Repitiría, pero es bastante caro.","sept 2021","Parejas","2021-09-28","Mixto","Japotaco, croquetas, bocata de panceta en pan de cristal, ravioli de rabo de toro, torrija brioche con helado de violeta","Croquetas magníficas con gran bechamel, ravioli sobresaliente, buen pan de cristal, servicio atento","Japotaco insípido sin salsas, torrija normal, precio muy elevado para el tamaño de las tapas (35€/pax sin vino)","Sí","El japotaco bastante insípido, le faltaba alguna salsa. Las croquetas magníficas, la bechamel súper conseguida. El bocata de panceta con pan de cristal bueno y el ravioli de rabo de toro lo mejor del sitio! La torrija brioche sin más... Caro (35€ sin vino)"
141,"EvaHK","Madrid, España",1638,"Espectacular","abr 2021","","2021-04-11","Positivo","Coquinas, kimuchi, tortilla, croquetas, torrija con helado de violeta","Comida excepcional, postre sobresaliente, local agradable, precio correcto y servicio de diez","","Sí","El servicio de excelente, el sitio chulo y la comida excepcional: las coquinas espectaculares, el kimuchi grandioso, la tortilla y las croquetas una maravilla y el reto súper rico también. Y l torrija con helado de violeta es una pasada."
142,"carlossiclaro","Madrid, España",58,"estupendas tapas","mar 2021","","2021-03-15","Positivo","Mejillones a la brasa, vino argentino","Mejillones excelentes, buena selección de vinos extranjeros, servicio atento","Precio algo elevado (38€ por persona)","Sí","agradable experiencia, un poco caro 38 euros por persona incluyendo vino argentino exquisito. atento y amable. lo mejor los mejillones a la brasa."
143,"Hugo McRae","Madrid, España",1116,"Tapas ricas y diferentes","feb 2021","Parejas","2021-03-01","Positivo","Tapas y raciones","Recetas originales y muy bien presentadas, sabores ricos, servicio muy amable","","Sí","Comimos a base de tapas y raciones y nos gustó mucho la experiencia. Servicio atento, muy amable y comida original, sabrosa y muy bien presentada"
144,"Gastromannia","",4,"Tomadura de pelo.","feb 2021","","2021-02-24","Negativo","Vino","","Cero aperitivo de cortesía alegando concepto norteño, vino caro (3.80€ copa), sensación de cutrez","Sí","Que en un bar/restaurante te cobren por un vino 3'80€ y no te pongan un mísero aperitivo aunque sea de aceitunas o patatas fritas porque alegan que su concepto es otro como en el Norte, no se si da la risa o te invade un inmenso cabreo... Evidentemente no volveré..."
145,"AGR","",5,"Sinvergüenzas","feb 2021","Parejas","2021-02-20","Negativo","Desayuno (café, tostadas con aceite, zumo de naranja)","","Precios abusivos en desayuno (10€/persona por tostada y café), falta de transparencia con la carta de precios, mala educación y soberbia del personal","Sí","Fuimos a probar sus nuevos desayunos, preguntamos por la carta y nos dijo que no había pero que tenían lo típico para desayunar. Pedimos un café cada uno con tostadas con aceite y zumo de naranja y salimos a casi 10€ POR PERSONA. Una vergüenza y un robo..."
146,"Manuela C","",1,"Un robo","feb 2021","Solo","2021-02-09","Negativo","Desayuno (tostada con tomate y café)","","Cobro abusivo de 6€ por un desayuno básico de café y media tostada","Sí","En este restaurante ahora dan desayunos y lo más increíble es el precio!! 6e por una tostada con aceite y tomate y un café, me quede tan alucinada que le pregunté que si me había cobrado el andaluz con el jamón... Me parece un robo a mano armada!"
147,"GRF","Madrid, España",12,"Muy buena comida y precio","dic 2020","","2020-12-18","Positivo","","Comida muy buena, trato inmejorable, precio razonable","","Sí","Muy buena comida y precio razonable, trato inmejorable . Para repetir seguro en breve . Un descubrimiento."
148,"Wences M","",28,"Mala elección","mar 2026","En familia","2026-03-20","Negativo","Ensaladilla, arroz, chipirones a la plancha, pan","","Cantidades ridículas en el menú de grupo, chipirones mínimos, arroz escaso, pan escaso y de mal sabor (3 trozos para 7 pax), salida con hambre","No","Fuimos 7 personas comimos el menú que es muy escaso de cantidad casi todos salimos con hambre poca ensaladilla poco arroz y los chipirones a la plancha ni se veían tres trozos de pan para 7 personas que tenían un sabor desagradable la experiencia mal y no volvería"
149,"DJLacaci","Pozuelo de Alarcón, España",1,"Experiencia fallida","ene 2026","Amigos","2026-01-21","Negativo","","Buena cocina, disculpa educada de un segundo camarero en la puerta","Comedor saturado, camarero golpeando repetidamente la silla y contestando con soberbia e insolencia ('no puedo pasar volando')","No","Mesa rectangular de 7 comensales... Un camarero pasa constantemente por el estrecho espacio entre mi silla y la de la señora de atrás. Cada vez que pasa me empuja. Cuando se lo comento contesta irritado que no puede pasar volando... arruinan el buen trabajo de cocina."
150,"Mario Pareja","",193,"Comida diferente","nov 2025","Parejas","2025-11-12","Positivo","","Cocina elaborada con toque muy personal, admite mascotas (perros) en terraza avisando","Platos no abundantes","No","Un restaurante que te va a sorprender por su comida. No es el típico restaurante con platos abundantes y comida sin más. Le dan un toque muy personal que es un acierto... Consejo: Se puede ir con tu perrito siempre que avises y te sientes en su terraza."
151,"gonzalo r","Pozuelo de Alarcón, España",49,"Una experiencia increíble en La Roca!","oct 2025","Amigos","2025-10-21","Positivo","","Platos llenos de sabor y con cuidada presentación, ambiente acogedor y animado, trato extraordinario y profesional de Ney","","No","Fuimos a cenar con amigos un sábado y todo fue perfecto de principio a fin. El ambiente es acogedor, con una energía ideal... La comida, simplemente espectacular... Pero lo que realmente marcó la diferencia fue la atención de Ney. Siempre amable, atento y con una sonrisa..."
152,"Marta","",41,"Todo correcto, pero la cocina muy lenta y fallos al tomar la comanda","sept 2025","En familia","2025-09-12","Mixto","Postres","Sabor de los platos muy rico, servicio de 10 por parte del camarero de pelo cano","Comanda tomada de memoria con olvido de un plato principal, cocina extremadamente lenta (1.5 horas), trato desigual en invitaciones de chupitos","No","Mesa de 4, y lo que hemos comido nos ha gustado todo. Falló que la persona que toma la nota no lo apunta, y al llevarlo de memoria se olvidó de uno de los platos principales... Fue lentísima la cocina... Al terminar no te ofrecen un chupito como al resto."
153,"nlm1433","Comunidad de Madrid, España",2,"Un gran descubrimiento","ene 2025","Parejas","2025-01-13","Positivo","Ravioli de rabo de toro, pinchos y tapas","Comida muy rica y variada, trato sobresaliente de Ney, local agradable","","No","Restaurante muy agradable y la comida muy rica y con muchas opciones de probar pinchos o tapas diferentes, pero sobre todo me quedo con el trato tan espectacular que recibimos en todo momento, sobre todo de Ney. Absolutamente recomendable."
154,"Gabriela G","",1,"Tapas muy buenas a precio razonable","jul 2024","Parejas","2024-08-01","Positivo","Tapas","Tapas muy ricas, precio razonable, buen servicio, ideal para cenas tardías","","No","Muy buenas tapas y precio razonable calidad servicio. Es un sitio agradable para ir a cenar tarde. Una opción adecuada en Pozuelo"
155,"Ra G","Villanueva de la Cañada, España",1,"Cutres","mar 2024","Amigos","2024-03-09","Negativo","Pan congelado, chupitos de crema de orujo, agua","","Cortes de luz continuos (7 veces), esperas de 1 hora por plato, pan congelado, cobro indebido de agua y chupitos ofrecidos tras los incidentes","No","Nada mas llegar, se fue la luz una media de 7 veces... Una hora cada plato en salir, pan congelado... 'Chupitos para todos??' Pides la cuenta, han cobrado una botella de agua de más....y también los chupitos de crema de orujo... ninguna deferencia, muy cutres."
156,"Francisco GP","Madrid, España",903,"Cocina de ALTO mercado","ene 2024","Parejas","2024-01-19","Positivo","Platos de carta de mercado","Comida excelente en toda la carta, servicio atento sin agobiar, buena adaptación de espacio para carrito de bebé, excelente relación calidad-precio","","No","El restaurante ha sido un descubrimiento. Para empezar, íbamos un grupo de 8 personas con un carrito de bebe y nos colocaron una mesa muy cómoda con un huequito para dejar el carrito. La atención perfecta... La comida excelente... Muy buena relación calidad precio"
157,"José Luis G","",3,"Decepcionante","may 2023","","2023-05-29","Negativo","","","Mala relación calidad-precio, excesivos tiempos de espera entre platos, servicio muy irregular","No","Relación calidad-precio inadecuada. Servicio muy irregular con excesiva espera entre los platos. Nos fuimos un tanto decepcionados. Dudo que vuelva."
158,"Ignacio SR","Pozuelo de Alarcón, España",79,"Mucho ruido y pocas nueces","feb 2023","Parejas","2023-02-24","Negativo","","","Caro para la calidad ofrecida, servicio tosco tipo cuartel o comedor escolar","No","No me ha gustado. Caro para la calidad ofrecida. Servicio mejorable, me recordaba a un comedor colegial o de cuartel. No voy a repetir. Los hay mucho mejores en la zona para elegir"
159,"Juncal S","Madrid, España",84,"Innovador pero caro","feb 2023","En familia","2023-02-08","Mixto","Tapas innovadoras","Tapas creativas y con buen sabor","Tamaño de ración diminuto y precios prohibitivos ('a precio de oro')","No","He ido y unas cuantas veces,siempre le doy una oportunidad más,pero cuanto más voy más caro me parece. Las tapas son innovadoras y están ricas y eso es lo que más me gusta pero son mínimas y a precio de oro."
160,"monica g","Madrid, España",49,"Nunca más","dic 2022","Parejas","2022-12-01","Negativo","Croquetas, tortilla de Betanzos, kimuchi, ravioli, tarta de queso al cacao, café","Café bueno, ravioli comestible con aprobado justo","Croquetas y tortilla con sabor a aceite refrito y harina, kimuchi con exceso de mayonesa y frito, tarta de queso con sabor a cacao soluble barato, precios muy altos","No","Malo y caro. Croquetas: saben a harina y aceite de mala calidad refrito. Tortilla de Betanzos: saben a aceite de mala calidad y refrito. Kimuchi: mayonesa y frito. Ravioli: vale, se puede comer... Tarta de queso al cacao: sabe a cola cao. Café: Estaba bueno. Muy caro para esto."
161,"francisco c","",7,"Sitio de referencia en Pozuelo","nov 2022","Amigos","2022-11-05","Positivo","Platos de autor","Gran calidad, platos originales, ambiente agradable, excelente implicación de los dueños (Alejandro y Óscar)","","No","Platos originales, gran calidad, ambiente genial, trato espectacular. Los dueños Alejandro y Oscar siempre al pie del cañon!! Nunca defraudan"
162,"madreconhijo","Madrid, España",21,"Cerveza a precio de oro!","oct 2022","En familia","2022-10-22","Negativo","Cerveza, patatas fritas","Camarero muy amable","Precio desproporcionado de las cervezas (cerca de 5€ la copa), aperitivo pobre consistente en patatas rancias","No","Una tarde lluviosa, salimos a tomar una cerveza... y hoy casi nos da un pasmo al ver el precio de dos copas de cerveza… casi 5 euros cada una. No volvemos ni lo recomendamos porque la tapa era una bol pequeño de patatas fritas y rancias. El camarero que nos atendió era muy amable"
