"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
464,"Carlos Collado Alonso","Local Guide · 95 reseñas · 81 fotos","Hace 1 año","Cena","20-30 €","Positivo","Tapas de autor","Tapas creativas y sabores increíbles","","No","Todo buenísimo. Tapas muy originales y con un sabor increíble. Repelería 100%"
465,"Ignacio Salanova Palomar","7 reseñas","Hace 4 años","","","Positivo","Huevos Rossini","Comida buenísima, servicio de diez, huevos Rossini muy recomendados","","No","Siempre un acierto. La comida esta buenísima y muy buen servicio. Recomiendo probar los huevos Rossini"
466,"Jenifer SJ","Local Guide · 13 reseñas","Hace 3 años","","","Positivo","Bocados calientes, Platos para compartir, Postres","Platos para compartir y postres deliciosos, trato simpático del personal","","Sí","Fui a comer y tanto los bocados calientes, como los platos para compartir y los postres estaban deliciosos. Además de la simpatía del personal"
467,"Andrés Fiuza","Local Guide · 100 reseñas","Hace 6 años","","","Positivo","Arroces","Cocina exquisita, arroces excelentes a precios moderados para su calidad","","No","Magnífico. Una cocina muy, muy buena a precios moderados para la calidad de la comida. Excelentes arroces. Lo recomiendo."
468,"david mengual","10 reseñas","Hace 1 año","Comida","60-70 €","Negativo","Tortilla de patatas con torreznos","","Muy caro para la calidad servida; torreznos añadidos a la tortilla de forma descuidada","No","Muy caro para la calidad que ofrecen, la tortilla venía con torreznos que se les han debido caer por casualidad."
469,"Luis R","Local Guide · 183 reseñas · 120 fotos","Hace 6 años","","","Positivo","Tapas y platos de carta","Comida estupenda, buen precio y propuesta sólida","","No","Magnífico lugar para degustar estupenda cocina. Tapas y platos. También buen precio. Muy recomendable."
470,"Leopoldo Werner Benjumea","Local Guide · 128 reseñas · 1.823 fotos","Hace 8 meses","Comida","Más de 100 €","Positivo","","Comida, servicio y ambiente muy buenos; aparcamiento gratuito en domingo","","No","Comida, servicio y ambiente muy buenos. Aparcamiento: El domingo no se paga en la calle"
471,"Enrique V.L.","5 reseñas · 2 fotos","Hace 3 años","Comida","40-50 €","Positivo","","Comida estupenda, bien emplatada, buen ambiente y servicio amable","","No","Comida estupenda, bien preparada y presentada. Buen ambiente y servicio muy amable."
472,"Laura feresin","Local Guide · 232 reseñas · 87 fotos","Hace 8 años","","","Positivo","","Comida rica, precios muy asequibles, camareros simpáticos","Local pequeñito","No","Sitio genial para comer. Es pequeñito y muy asequible. Los camareros muy simpáticos. Recomendado 100%."
473,"Francisco GQuint","Local Guide · 18 reseñas · 20 fotos","Hace 3 años","","","Negativo","Raciones","Calidad aceptable sin sobresalir","Raciones muy pequeñas y precio carísimo","No","Si bien los platos no están mal de calidad, sin ser nada del otro mundo, son pequeñas raciones y carísimo."
474,"Juan Carlos Mateos Jiménez","3 reseñas","Hace 5 años","","","Positivo","Materia prima","Materia prima espectacular, cocina original y sorprendente, equipo de Óscar de 10","","Sí","Hoy hemos celebrado un cumple en la roca!!.. cómo siempre el equipo de Oscar ... de 10... la comida ... siempre sorprendente ... original... la materia prima espectacular y el ambiente... como en casa!!... Gracias Oscar!!"
475,"Débora Prada Gracia","Local Guide · 53 reseñas","Hace 4 años","","","Positivo","Alcachofas, Bocata de panceta, Tarta árabe","Carta muy completa, atención cuidada, alcachofas y tarta árabe sobresalientes","","No","Todo muy rico, carta muy completa y muy buena atención. Las alcachofas, el bocata de panceta y la tarta árabe muy recomendable!"
476,"Rafael Gomez Perezagua","Local Guide · 131 reseñas · 14 fotos","Hace 5 años","","","Mixto","Menú del día, Platos de carta","Menú del día correcto, platos sabrosos y originales","Personal agradable pero escaso en número; precios algo elevados","No","Menu del día adecuada. Platos de carta originales y sabrosos. Servicio agradable (y escaso). Precios algo altos"
477,"José Garrido","5 reseñas","Hace 1 año","Comida","30-40 €","Positivo","","Comida espectacular y servicio impecable","","No","Solo puedo decir ESPECTACULAR. Todo riquísimo y servicio impecable. Para volver"
478,"Laura Benedicto","12 reseñas","Hace 4 años","","","Positivo","","Comida espectacular y servicio inmejorable","","No","La comida espectacular, pero del servicio solo puedo decir que in-mejorable. Desde luego que volveremos."
479,"Montserrat Gonzalez","3 reseñas","Hace 1 año","","","Positivo","","Comida buenísima y personal encantador","","No","La comida buenísima y el personal encantador.Repetiremos"
480,"Mayte Yague Lopez","Local Guide · 29 reseñas","Hace 2 años","Comida","50-60 €","Positivo","","Comida muy sabrosa y buen servicio","Tiempo de espera prolongado entre primeros y segundos platos","No","La comida muy rica, el servicio muy bueno La única pega es el tiempo de espera entre los primeros y los seguros platos"
481,"juan barquillo","11 reseñas","Hace 4 años","","","Positivo","Hamburguesa, Postres","Hamburguesa muy sabrosa, postres riquísimos, experiencia genial","","Sí","Un buen sitio, la hamburguesa muy rica al igual que los postres. Todo genial. Muy recomendable!"
482,"Gema Jimenez","3 reseñas","Hace 3 años","Cena","30-40 €","Positivo","","Comida muy buena y atención excelente y cercana de Alejandro","","Sí","Comida muy buena y un trato excelente del personal, especialmente de Alejandro. Un restaurante de 10 (Soy Víctor)"
483,"Patricia Moraleda","4 reseñas","Hace 4 años","","","Positivo","","Comida espectacular y camareros 'top' (trato como en casa por parte de Ney)","","No","Comida espectacular y camareros top,en especial Ney que nos ha tratado como si estuvieramos en casa!volveremos!!"
484,"Fernando González-Gómez","Local Guide · 32 reseñas · 7 fotos","Hace 1 año","Comida","50-60 €","Mixto","","Buen producto y técnica culinaria correcta","Precio un poco excesivo","No","Buen producto y bien cocinado, pero un poco excesivo el precio"
485,"Patricia Hernando Muñoz","1 reseña","Hace 2 meses","Cena","40-50 €","Positivo","","Servicio y atención inmejorables de Nilmar, Ney y Valentín","","No","Nilmar, Ney y Valentín la pera!!!"
486,"J.P B","Local Guide · 48 reseñas · 14 fotos","Hace 4 años","Comida","40-50 €","Positivo","","Comida pintoresca y exquisita, equipo profesional y encantador","","No","Un regalo para las papilas gustativas. Acogedor y pintoresco, el personal es una maravilla, encantadores y muy profesionales. Es difícil cansarse de ir."
487,"Noemi Vidal","10 reseñas · 9 fotos","Hace 4 años","","","Positivo","Vinos seleccionados","Atención excepcional, comida sabrosa y excelente carta de vinos","","No","La atención excepcional, la comida muy buena. Y sobre todo un buen vino. Totalmente recomendable"
488,"Inma Lopez","Local Guide · 26 reseñas · 2 fotos","Hace 5 años","","","Positivo","Callos de la casa","Cocina de mercado auténtica, consejos acertados del jefe y callos inmejorables","","Sí","Qué agradable disfrutar de una cocina de mercado riquísima, auténtica y hecha con cariño en la mejor compañía... Excelentes consejos del jefe... los callos inmejorables!!"
489,"James Ruz","Local Guide · 27 reseñas","Hace 4 años","","","Positivo","","Calidad constante en comida y servicio","","No","Espectacular calidad de comida y de atención. Un placer volver cada vez . Continúen así."
490,"Isabel B.A.","Local Guide · 78 reseñas · 4 fotos","Hace 3 años","","","Positivo","","Comida bastante rica","Terraza con algo de ruido ambiental exterior","No","La comida está bastante rica ,aunque he de decir que la terraza tiene un poco de ruido…"
491,"Marcela Higgins","2 reseñas","Hace 1 año","","","Positivo","","Comida de calidad y atención excepcional","","No","Buena calidad de comida y una atención excepcional."
492,"Teresa Olleros Martos","5 reseñas","Hace 4 años","","","Positivo","Hamburguesa, Bocata de panceta chasu","Calidad y trato inmejorables, hamburguesa y panceta chasu deliciosas","","No","¡Sitio espectacular! Calidad y trato inmejorable. Recomendable la hamburguesa y el bocata de Panceta Chasu."
493,"BORJA B","Local Guide · 62 reseñas","Hace 5 años","","","Mixto","Raciones","Buena atención y platos bien cocinados","Raciones mínimas y cuenta final muy cara","Sí","Buena atención , está todo bien elaborado , pero las raciones son mínimas y el precio final muy caro. ."
494,"Coto MATAMALA","2 reseñas","Hace 2 años","Cena","30-40 €","Positivo","Gin tonic","Comida sensacional, equipo atento y gin tonics impecables","","No","Equipo estupendo, comida sensacional y un gin tonic impecable!! El mejor sitio de todo Pozuelo!!"
495,"Rocio Mercado","4 reseñas","Hace 4 años","Comida","","Positivo","","Servicio impecable y cocina deliciosa","","No","Muy buen servicio y cocina, salimos encantados, sin duda repetiremos."
496,"Paola San Martín Murillo","Local Guide · 58 reseñas · 4 fotos","Hace 4 años","","","Positivo","Platos de autor","Comida original y riquísima, perfecta para celebraciones especiales","","Sí","Un sitio espectacular, la comida está riquísima y original, un buen sitio para una ocasión especial."
497,"Paloma Cobo Bosqued","10 reseñas · 1 foto","Hace 3 años","Cena","30-40 €","Positivo","","Camareros súper amables y rápidos, comida riquísima","","Sí","Todo fenomenal!! Todos los camareros son super amables, son rápidos y todo riquisisisimo! Repetiremos sin duda!"
498,"Miriam Granado Peinado","Local Guide · 38 reseñas · 4 fotos","Hace 4 años","","","Positivo","","Comida exquisita, personal de sala pendiente de cada detalle","","No","Personal y servicio de calidad, comida riquísima. Los camareros atentos a cada detalle. El mejor restaurante de Pozuelo."
499,"Marta Gutiérrez","Local Guide · 432 reseñas · 438 fotos","Hace 4 años","Cena","","Positivo","","Atención estupenda y ambiente agradable","Recomendaciones poco precisas (afirman que 'todo está bueno' sin concretar)","No","Estupenda la atención, el sitio y el ambiente..no le doy todas las estrellas porque a mí personalmente cuando pido que me recomienden y me dicen que todo está bueno me molesta. Pero repetiré"
500,"Juan Martin Bertolotti","3 reseñas","Hace 1 año","","","Positivo","","Comida buenísima y personal súper atento","","Sí","Buenisima la comida y super atentos a todo! SUPER RECOMENDABLE!"
501,"Carmen Gestal del Rio","3 reseñas","Hace 10 meses","","","Positivo","","Comida muy sabrosa y muy buen servicio de mesa","","No","Muy rico todo y muy buen servicio"
502,"Carlos","2 reseñas","Hace 3 años","Comida","50-60 €","Positivo","","Comida súper buena y servicio inmejorable","","No","La comida super buena , y el trato inmejorable . Volveremos seguro !!! Nos ha encantado ."
503,"Andres Prieto","Local Guide · 96 reseñas","Hace 2 años","Cena","40-50 €","Negativo","","","Experiencia totalmente decepcionante tanto en servicio como en calidad de comida","No","Estuve el viernes cenando y la verdad que una gran decepción, ni la comida ni el servicio merecen la pena."
504,"Pepe Roncero Puente","7 reseñas","Hace 1 año","Comida","30-40 €","Positivo","","Comida estupenda, sitio muy agradable, aparcamiento sin problemas","","No","Es un sitio muy agradable en todos los sentidos y se come estupendamente Aparcamiento: Sin problema"
505,"Laura Arroyo","Local Guide · 27 reseñas · 19 fotos","Hace 3 años","","","Positivo","","Comida espectacular y camareros majísimos","","No","Espectacular la comida y la atención lo mejor. Son tan majos que casi no echamos de menos a Oscar."
506,"Patricia Molinero","6 reseñas · 2 fotos","Hace 4 años","","","Positivo","","Comida riquísima, trato de sala excelente y buen ambiente","","No","Sin lugar a dudas recomendable 100% riquisimo todo, trato y ambiente excelente. Volveremos!!!!"
507,"Maria Fdez. Mohedas","65 reseñas","Hace 2 años","Comida","","Positivo","Ensalada con ventresca, Alcachofas","Atención inigualable, ensalada con ventresca y alcachofas excelentes","","No","Atención inigualable. Nos gustó mucho la ensalada con ventresca y las alcachofas."
508,"Estudio31","1 reseña","Hace 1 año","Cena","30-40 €","Positivo","","Todo muy rico y muy buen trato de sala","","Sí","Muy buena experiencia, todo muy rico y el trato muy bueno."
509,"Ana Santos","Local Guide · 43 reseñas · 6 fotos","Hace 4 años","Comida","10-20 €","Positivo","","Comida buenísima, personal súper simpático y precio asequible","","No","Todo buenísimo y personal súper simpático. Buen sitio para comer en Pozuelo!"
510,"Javier Monteverde","Local Guide · 16 reseñas · 3 fotos","Hace 4 años","","","Positivo","","Trato estupendo, comida rica y precio adecuado","","No","Estupendo trato. Comida muy rica y precio adecuado. Muy recomendable"
511,"Danilo padilla justiniano","5 reseñas","Hace 1 año","Comida","","Positivo","","Servicio y comida de 10","","No","Me encanta este restaurante, el servicio y la comida de 10 😊"
512,"yazmina calderón blanco","12 reseñas","Hace 3 años","","","Positivo","Bocaditos de autor","Cocina mágica y exquisita, trato súper profesional de Ney","","No","Restaurante distinto ,con cositas exquisitas y con un aroma de sabor a magia ,atendidos por Ney un gran profesional.muchas gracias!!!"
513,"PILAR AYLLON","3 reseñas · 4 fotos","Hace 4 años","","","Positivo","","Comida excelente y trato de sala espectacular","","Sí","Es un sitio para repetir sin esperar que pase mucho tiempo. La comida excelente y el trato espectacular!!!"
514,"Augusto Bedate","5 reseñas · 7 fotos","Hace 5 años","","","Positivo","Platos de carta","Producto de calidad, carta variada y terraza adaptada para niños","","Sí","Calidad, producto y buen trato. Mucha variedad de opciones en carta y terraza niños friendly..."
515,"IGNACIO CHARLEN DIEZ","2 reseñas","Hace 1 año","","","Positivo","Platos de carta","Platos ricos y terraza agradable","","No","Terraza agradable y platos ricos. Volveré si tengo ocasión"
516,"Patri Casas","6 reseñas","Hace 11 meses","","","Positivo","","Todo muy bien en comida y atención","","No","Todo muy bien! Recomendsdo en la zona de avenida de Europa:)"
517,"Barrutia Pablo","Local Guide · 19 reseñas · 2 fotos","Hace 1 año","Comida","30-40 €","Positivo","","Comida fantástica y servicio inmejorable","","No","Comida fantástica Y servicio inmejorable Muchas gracias por todo"
518,"Koldo Mardones","Local Guide · 12 reseñas · 29 fotos","Hace 5 años","","","Positivo","Platos para compartir","Cocina informal excelente por parte de Alberto y gran servicio de sala de Óscar","","No","Un buen restaurante para comer muy bien, informal y compartir platos, tanto este de pozuelo como el de miranda de Ebro lo hacen muy bien Alberto en cocina como Oscar en sala"
519,"Julio Rodriguez","Local Guide · 26 reseñas · 1 foto","Hace 7 años","","","Positivo","Platos elaborados","Platos muy bien elaborados y trato excelente","","No","Fantásticos platos muy bien elaborados, trato excelente. Muy recomendable"
520,"A. Rincón","Local Guide · 112 reseñas · 204 fotos","Hace 4 años","","","Mixto","Platos complejos","Personal amable y atento","Algunas elaboraciones resultan excesivamente complejas","Sí","Bien en general, aunque algunos platos son excesivamente complicados, trato amable y cuidado del personal."
521,"Nuria","Local Guide · 19 reseñas · 1 foto","Hace 5 años","","","Positivo","Foie, Calamares a la andaluza con huevo frito","Foie y calamares con huevo impresionantes, servicio estupendo","","Sí","Todo buenísimo, atención estupenda. Destacar el foie y los calamares a la andaluza con huevo frito. Impresionante"
522,"Antonio Fernández Millán","Local Guide · 17 reseñas · 1 foto","Hace 3 años","Comida","","Positivo","","Carta variada, platos muy bien cocinados, servicio impecable","","No","Carta variada, buena comida, muy bien preparada. Servicio impecable."
523,"Marco Gálvez","1 reseña","Hace 4 años","","","Positivo","Platos sugeridos","Comida deliciosa, recomendaciones acertadas y personal amabilísimo","","No","Muy rica la comida. Estupendas las recomendaciones. Y muy, muy amables el personal. Siempre muy bien."
524,"Sara y Mattia Rospitos","7 reseñas","Hace 4 años","","","Mixto","","Local agradable y servicio correcto","Precios algo altos para las cantidades y nivel gastronómico ofrecido","Sí","El sitio no está mal, el servicio es correcto y la comida no está mal. La pega que le veo es que los precios, respecto a las cantidades y a la calidad general, son un poco altos."
525,"Teresa Martínez Vicent","Local Guide · 328 reseñas · 584 fotos","Hace 3 años","","","Positivo","Postres caseros","Servicio exquisito, comida inmejorable, postres caseros y cuidada estética","","No","Servicio exquisito y la comida inmejorable.Los postres son caseros. Muy buena presentación."
526,"Damian Garcia Iglesias","4 reseñas","Hace 1 año","","20-30 €","Positivo","","Comida excelente y servicio impecable","","No","Comida excelente y gran servicio, totalmente recomendable."
527,"Esperanza Vazquez","Local Guide · 46 reseñas · 2 fotos","Hace 3 años","Cena","10-20 €","Positivo","Tortilla de Betanzos, Helados","Tortilla de Betanzos y helados espectaculares","Raciones algo pequeñas","No","La tortilla de Betanzos y los helados son expectaculares. Las raciones algo pequeñas. En general cenamos bien."
528,"Raquel galan","6 reseñas","Hace 8 años","","","Negativo","","","Actitud hostil, soberbia y prepotente del encargado ('el cliente no se sienta donde quiere')", "No","Una gran decepción. 'El cliente no se sienta donde quiere al menos aquí' palabras textuales del jefe. Hostil y arrogante. Demasiados aires de grandeza..."
529,"aranzazu bp","6 reseñas","Hace 3 años","Cena","30-40 €","Positivo","Ravioli de rabo de toro, Tarta árabe","Ravioli de rabo y tarta árabe deliciosos","","No","Todo lo que comimos estupendo, aunque me encantaron el ravioli de rabo de toro y la tarta arabe!"
530,"ana iaccarino","Local Guide · 181 reseñas","Hace 2 años","Cena","30-40 €","Positivo","","Comida excelente y simpatía y buena onda insuperable de los mozos/camareros","","No","Lo mejor de La Roca ademas de la excelente comida es sin duda la buena onda de los mozos. Una atencion con buena intención !"
531,"Oscar Barja","Local Guide · 76 reseñas","Hace 4 años","","","Positivo","Platos innovadores","Innovación culinaria constante y servicio de sala impecable","","Sí","Si quieres ser bien atendido , no lo dudes , La Roca es el restaurante de Pozuelo. Además no paran de innovar platos nuevos. Fantástico 😊"
532,"Niko Munoz Idiarte-Ramos","10 reseñas","Hace 4 años","Comida","30-40 €","Positivo","","Comida riquísima y muy buen servicio","","No","Comida riquísima, muy buen servicio. Recomendable al 100%"
533,"David Gonzalez","Local Guide · 142 reseñas · 728 fotos","Hace 6 años","","","Positivo","","Comida excelente y maître sobresaliente y muy profesional","","Sí","Excelente comida y servicio. Una mención especial para el maítre, es un fuera de serie. Gran profesional."
534,"Enrique Cuesta","Local Guide · 24 reseñas · 5 fotos","Hace 4 años","","","Positivo","","Cocina original, buen género y trato cercano","","No","Muy rico todo. Cocina original con buen producto y mejor trato. Muy recomendable"
535,"Rocio Peinado","Local Guide · 9 reseñas","Hace 4 años","","","Positivo","","Comida y trato espectaculares sin fallos","","Sí","Espectacular, es lo único que puedo decir d este restaurante, tanto la comida como el trato."
536,"Álvaro González","3 reseñas · 1 foto","Hace 2 años","Comida","50-60 €","Positivo","","Servicio y ambiente perfectos","Demora notable en la llegada de la comida","No","La comida tardo bastante en llegar, por todo lo demás perfecto, servicio, ambiente todo"
537,"Jaime R B","Local Guide · 19 reseñas · 3 fotos","Hace 4 años","","","Positivo","","Camareros muy atentos; entorno ideal para acudir en pareja o amigos","","No","Es un sitio idóneo para venir en pareja o con amigos. Los camareros siempre están atentos. Volveremos!"
538,"Acaymo Reyes Rodríguez","Local Guide · 252 reseñas · 114 fotos","Hace 7 años","","","Positivo","Tapas de autor, Vino","Servicio rápido y agradable, tapas deliciosas y buena carta de vinos","","No","Rápido agradable y muy buen servicio. Tapas muy ricas y buen vino. Muy recomendable."
539,"juana rodriguez garcia","Local Guide · 47 reseñas · 338 fotos","Hace 5 años","","","Positivo","","Comida excelente y camareros con muchos detalles hacia el comensal","","Sí","Muy buena atención y detalle con el cliente. En cuanto a la comida, excelente"
540,"Pablo Carrallo","Local Guide · 91 reseñas · 2 fotos","Hace 8 años","","","Positivo","Tapas elaboradas, Arroz con rabo de toro","Tapas originales y arroz con rabo de toro impresionante, local agradable","","No","Un sitio muy agradable y con tapas y raciones elaboradas, diferentes. Impresionante el arroz con rabo de toro."
541,"Carmen Mejías Sanguino","8 reseñas","Hace 1 año","Comida","30-40 €","Positivo","","Comida y servicio excelentes en cada visita","","No","Toda la experiencia maravillosa! Comida y trato excelentes como siempre"
542,"Lucía Molero Rein","6 reseñas","Hace 4 años","","","Positivo","Postres caseros","Comida increíble, postres deliciosos y servicio de primera","","No","Comida increible, todo riquisimo, incluido postres. Servicio excelente"
543,"Aldana Bautista","5 reseñas","Hace 3 años","","","Positivo","","Platos deliciosos, ambiente agradable y gran atención","","No","De paseo por Madrid pude conocer este hermoso lugar, degustar sus delicias disfrutando de su magnífico ambiente y atención!"
544,"Alejandro Aguado","12 reseñas","Hace 4 años","","","Positivo","","Comida de gran calidad y trato excelente","","No","Gran comida y trato excelente. Lo recomiendo encarecidamente."
545,"Daniel Íñiguez Cabrera","1 reseña","Hace 4 años","Comida","40-50 €","Positivo","","Producto de gran calidad, atención profesional y trato muy agradable","","No","Comida de gran calidad y servicio muy atento y muy profesional y agradable."
546,"Aurora A","Local Guide · 48 reseñas · 1 foto","Hace 3 años","Comida","40-50 €","Positivo","Platos elaborados","Materia prima de calidad, platos originales y cocina muy elaborada","","No","Está genial! Platos elaborados , originales y materia prima de calidad. Nos encanta"
547,"Sebastian Araya van der Schraft","Local Guide · 17 reseñas · 1 foto","Hace 2 años","","","Positivo","","Servicio excelente","","No","Excelente servicio"
548,"Raquel","Local Guide · 49 reseñas · 25 fotos","Hace 7 años","","","Positivo","Platos de temporada","Productos de temporada, buenas sugerencias de sala y relación calidad-precio estupenda","","No","Muy buena atención, te recomiendan que probar y siempre con productos de temporada. Relación calidad precio estupenda."
549,"JC RG","Local Guide · 38 reseñas · 44 fotos","Hace 2 años","Cena","40-50 €","Positivo","","Gran atención de los camareros y ambiente muy agradable","","Sí","Muy buen ambiente y gran atención por parte de los camareros"
550,"rebeca blanco","2 reseñas","Hace 4 años","","","Positivo","","Atención exquisita, comida espectacular, nunca defrauda","","Sí","Como siempre … no defrauda … atención exquisita … comida espectacular … nos encanta"
551,"Robert Hill","8 reseñas","Hace 1 año","","","Positivo","","Comida deliciosa al mismo nivel que un servicio exquisito","","No","Comida a la par de un servicio exquisito. Repetiré sin duda"
552,"sara gonzalez encinas","Local Guide · 22 reseñas","Hace 4 años","","","Positivo","","Comida deliciosa y camareros súper majos","Precio caro; terraza menos agradable tras ser cubierta","Sí","La comida deliciosa, los camareros súper majos.ES caro, eso sí. Se agradecía la terraza cuando no estaba cubierta"
553,"Jorge Fernandez-Cid","Local Guide · 49 reseñas · 2 fotos","Hace 4 años","","","Positivo","Platos de temporada","Creatividad continua con novedades y platos nuevos en cada visita","","No","Cada vez que vengo me sorprendo con algún plato nuevo. Totalmente recomendable!"
554,"Isabel Herraez","6 reseñas","Hace 4 años","","","Positivo","","Comida genial y trato excelente","","No","La comida genial y el trato excelente, un sitio para repetir"
555,"Ara Celi","Local Guide · 20 reseñas · 22 fotos","Hace 3 años","","","Positivo","Torreznos fuera de carta","Torreznos fuera de carta de 10, trato encantador de Ney","","No","Absolutamente delicioso todo. Ney es un encanto. Los torreznos fuera de carta son un 10"
556,"Michelle bautista","5 reseñas","Hace 3 años","","30-40 €","Positivo","","Buen ambiente, amabilidad y servicio impecable","","No","Buen ambiente, amabilidad y servicio impecable..... Siempre quw voy a Madrid repito...."
557,"Aurora Jeitani","1 reseña","Hace 2 años","Cena","20-30 €","Positivo","","Comida increíble y servicio inigualable","","No","Sin duda alguna, volveré! La comida increíble, el servicio inigualable 😍 descubrimiento absoluto"
558,"Manuel Seisdedos Santos","4 reseñas","Hace 4 años","","","Positivo","Platos adaptados para alérgenos","Altísimo nivel de cocina y máximo cuidado y protocolo ante alergias alimentarias","","Sí","Altísimo nivel de cocina. Muy buena atención y muy cuidadosos con las alergias. Volveremos seguro!"
559,"Rafa Rodríguez","Local Guide · 75 reseñas · 8 fotos","Hace 5 años","","","Positivo","Platos de autor","Comida elaborada y rica","Precio algo elevado","No","Buen sitio. Comida elaborada y rica. Quizá el precio es alto."
560,"Borja Herran","Local Guide · 89 reseñas · 1 foto","Hace 6 años","","","Positivo","Tapas y platos de carta","Tapas y platos bien elaborados, servicio atento","Nivel de ruido excesivo en el salón","Sí","Buena la comida (tapas y platos bien elaborados)y el servicio atento pero excesivamente ruidoso"
561,"Luis","Local Guide · 62 reseñas · 7 fotos","Hace 6 años","","","Positivo","","Buen producto, buena cocina y camareros muy agradables","Conviene reservar por alta ocupación","No","Buen producto y buena cocina. La atención es muy buena también, son muy agradables. Conviene reservar."
562,"Paloma PF","6 reseñas","Hace 4 años","","","Positivo","Fideuá, Hamburguesa, Chipirones","Fideuá, hamburguesa y chipirones impresionantes; trato excepcional","","No","Comida y trato excepcional. Recomendación top. La fideua, hamburguesa y chipiorones impresionantes."
563,"Pilar Garcia Lombardía","Local Guide · 39 reseñas · 3 fotos","Hace 2 años","Otro","1-10 €","Positivo","","Platos riquísimos con calidad excelente constante, buen servicio y buen precio","","No","Platos muy buenos como siempre con buenisima calidad. Muy buen servicio. Buena relacion calidad precio."
564,"JESUS FERNANDEZ","Local Guide · 21 reseñas · 1 foto","Hace 9 años","","","Positivo","Platos gastrobar","Gastrobar increíble, comida de gran nivel y servicio muy bueno","Local que se quedará pequeño por la afluencia","No","Todo un acierto. Gastro bar increible. Servicio muy bueno y comida increible. Se va a quedar pequeño. Disfrutas de la comida."
565,"Barbara Goenaga","2 reseñas","Hace 4 años","Comida","","Positivo","","Comida muy sabrosa y camareros encantadores","","No","Muy, muy rico todo. Excepcional. Los camareros encantadores. Volveremos :)"
566,"Irene Fernández","Local Guide · 188 reseñas · 235 fotos","Hace 6 años","","","Positivo","Tapas modernas","Restaurante moderno con buena elaboración","Tapas no muy grandes y raciones pequeñas","Sí","Restaurante moderno, sirven tapas no muy grandes. No es excesivamente caro pero las raciones son pequeñas."
567,"Aureliano Delgado","Local Guide · 47 reseñas · 2 fotos","Hace 2 años","Comida","40-50 €","Positivo","","Buen producto base y buena cocina","Platos servidos bastante sosos o cortos de sal","No","Buen producto y buena cocina. Si os gusta la sal, llevadla de casa..."
568,"elena morales garcia","Local Guide · 17 reseñas · 7 fotos","Hace 2 años","Comida","70-80 €","Positivo","","El mejor restaurante de Pozuelo, atención maravillosa de Alejandro","","No","Mejor sitio para comer en pozuelo Alejandro maravilloso. Volveremos. 🥰"
569,"raquel","1 reseña","Hace 4 años","","","Positivo","","Muy buen trato y comida excelente","","No","Muy buen trato y comida excelente. Seguiremos repitiendo!"
570,"claudio perez","Local Guide · 28 reseñas · 10 fotos","Hace 3 años","","","Positivo","Ensaladilla con huevo frito y huevas de arenque","Ensaladilla con huevo frito brutal, nunca falla","","No","Nunca falla, un placer repetir en uno de mis sitios favoritos de Pozuelo. La ensaladilla con huevo frito y huevas de arenque es brutal."
571,"Jose Ramón Ibarbia","4 reseñas","Hace 5 años","","","Positivo","","Calidad excelente y servicio muy amable","","Sí","Fenomenal. Calidad excelente. Sevicio muy amable. En fin, una velada encantadora."
572,"Elizabeth Cordoví","4 reseñas","Hace 3 años","Cena","10-20 €","Positivo","","Comida muy buena y atención inmejorable de Ney","","No","La comida estaba muy buena y la atención de Ney inmejorable. Volveremos!"
573,"Félix Pascual","Local Guide · 56 reseñas · 1 foto","Hace 8 años","","","Positivo","Tapas de autor","Platos y tapas espectaculares, servicio impecable","Mesas altas en local pequeño","No","Tapas y platos espectaculares. Y mejor servicio. Mesas altas, pequeñito, como en casa. Elijas lo que elijas aciertas."
574,"debora cf","1 reseña","Hace 8 años","","","Positivo","Hamburguesa, Vinos","Hamburguesa buenísima y excelente selección variada de vinos","","No","La hamburguesa está buenísima y la comida en general. Buena carta de vinos y variados. Recomendable!"
575,"Jorge D.Serrano","Local Guide · 14 reseñas · 40 fotos","Hace 8 meses","","","Negativo","","","Comida ordinaria y raciones escasas para el precio cobrado","No","Comida normal y escasa para el precio."
576,"lole canela","Local Guide · 15 reseñas","Hace 4 años","","","Positivo","Carta amplia de temporada","El mejor restaurante de Pozuelo con relación calidad-precio insuperable","","Sí","El mejor restaurante de Pozuelo. Relación calidad-precio inmejorable. Espectacular"
577,"Carlos Saldana Gonzalez","Local Guide · 98 reseñas","Hace 11 meses","Cena","30-40 €","Negativo","","","Propuesta indiferente y superada por otros locales de la zona","No","Ni fu, ni fa. Los hay mejores en la zona."
578,"Catalina Muñoz","6 reseñas","Hace 3 años","Comida","20-30 €","Positivo","","Calidad excelente y regularidad constante para clientes habituales","","No","Todo excelente. Somos clientes habituales y siempre es un gusto comer aqui."
579,"Amparo muñoz","5 reseñas · 6 fotos","Hace 7 años","","","Negativo","Tapas de autor","Tapas aceptables","Local muy incómodo, precios carísimos y nivel culinario lejos del estándar Michelin","No","Local muy incómodo, carísimo para las elaboraciones que hacen. No están mal las tapas, pero la estrella michelin es otra cosa"
580,"Lol Rubzyzz","1 reseña","Hace 4 años","","","Positivo","","Atención buenísima y comida de diez","","No","Espectacular, la atención buenísima y la comida de 10. Recomendable a todo el mundo"
